AREA	LEVEL	DAY	PERIOD	DEPOSIT	RENT	CONTRACT	RENEWAL	DEPOSIT_PREV	RENT_PREV	DROPPED
12월										
전용면적(㎡)	층	계약일	계약기간	"보증금
(만원)"	"월세
(만원)"	계약구분	"갱신요구권
사용"	"종전계약
보증금
(만원)"	"종전계약
월세
(만원)"	전산공부
84.99	13	29	23.02~25.02	20,000	150	갱신	-	10,000	140	보기
84.99	7	28	22.12~24.12	30,000	140	갱신	-	30,000	70	보기
59.99	18	26	22.12~24.12	40,400	40	갱신	-	50,400	0	보기
84.99	17	24	23.02~25.02	30,000	125	갱신	사용	30,000	140	보기
84.99	5	22	-	20,000	140	-	-	-	-	보기
59.99	5	21	23.02~25.02	10,000	160	신규	-	-	-	보기
59.99	5	20	23.02~25.02	42,000	0	신규	-	-	-	보기
59.99	13	18	23.02~25.02	42,000	0	신규	-	-	-	보기
84.99	18	16	23.02~25.02	58,000	0	신규	-	-	-	보기
84.99	5	15	23.02~25.02	25,000	150	신규	-	-	-	보기
84.99	15	15	23.02~25.02	63,000	0	신규	-	-	-	보기
59.99	7	14	22.12~23.12	63,000	0	갱신	-	63,000	0	보기
59.99	15	13	23.02~25.02	40,000	0	신규	-	-	-	보기
59.99	3	13	23.02~25.02	55,000	0	갱신	-	65,000	0	보기
84.99	13	13	23.02~25.02	25,000	150	신규	-	-	-	보기
84.99	11	13	23.02~25.02	55,000	0	신규	-	-	-	보기
84.99	18	13	23.01~25.01	56,500	0	신규	-	-	-	보기
84.99	19	12	23.02~25.02	55,000	0	신규	-	-	-	보기
84.99	19	12	23.02~25.02	55,000	0	신규	-	-	-	보기
84.99	13	11	23.01~25.01	50,000	40	갱신	사용	40,000	110	보기
84.99	8	10	23.02~25.02	10,000	180	신규	-	-	-	보기
84.99	20	10	23.02~25.02	60,000	0	신규	-	-	-	보기
128.81	12	10	23.03~25.03	97,000	0	-	-	-	-	보기
59.99	10	9	23.01~25.01	51,817	0	갱신	사용	49,350	0	보기
59.99	7	7	-	5,000	152	갱신	사용	5,000	145	보기
84.99	10	7	23.02~25.02	10,000	200	신규	-	-	-	보기
128.81	13	6	23.01~25.01	60,000	100	신규	-	-	-	보기
84.99	13	5	-	32,000	89	-	-	-	-	보기
84.99	17	5	23.02~25.02	60,000	0	신규	-	-	-	보기
84.99	9	4	23.01~25.01	25,000	130	신규	-	-	-	보기
84.99	5	3	23.01~25.01	15,000	170	신규	-	-	-	보기
59.99	18	2	23.01~25.01	10,000	120	신규	-	-	-	보기
11월										
전용면적(㎡)	층	계약일	계약기간	"보증금
(만원)"	"월세
(만원)"	계약구분	"갱신요구권
사용"	"종전계약
보증금
(만원)"	"종전계약
월세
(만원)"	전산공부
84.99	2	30	-	30,000	120	-	-	-	-	보기
84.99	7	30	23.01~25.01	52,000	0	신규	-	-	-	보기
59.99	4	28	23.01~25.01	40,000	0	신규	-	-	-	보기
84.99	3	26	23.02~25.02	20,000	145	신규	-	-	-	보기
84.99	1	26	23.02~25.02	50,000	0	신규	-	-	-	보기
59.99	10	24	22.11~24.11	50,000	0	갱신	-	47,700	0	보기
59.99	9	23	22.12~24.12	20,000	110	신규	-	-	-	보기
84.99	11	23	23.01~25.01	30,000	120	갱신	-	30,000	85	보기
84.99	10	23	22.11~24.11	57,000	0	신규	-	-	-	보기
84.99	3	22	22.12~24.12	69,000	0	갱신	-	80,000	0	보기
128.81	18	21	22.12~24.12	95,000	0	갱신	-	77,700	0	보기
59.99	12	19	-	48,000	0	-	-	-	-	보기
84.99	17	19	22.12~24.12	60,000	0	갱신	-	35,000	0	보기
84.99	6	18	22.12~24.12	60,000	45	갱신	사용	60,000	35	보기
84.99	7	18	-	62,000	0	-	-	-	-	보기
59.99	14	17	23.02~25.02	48,000	0	신규	-	-	-	보기
59.99	14	17	-	48,000	0	-	-	-	-	보기
59.99	7	17	23.02~25.02	50,000	0	갱신	-	49,350	0	보기
128.81	12	16	23.01~25.01	95,000	0	신규	-	-	-	보기
59.99	9	13	22.12~24.12	45,000	20	신규	-	-	-	보기
59.99	4	12	22.11~24.11	50,000	0	갱신	-	48,300	0	보기
84.99	7	12	23.01~25.01	48,000	0	신규	-	-	-	보기
84.99	12	11	22.12~24.12	10,000	200	신규	-	-	-	보기
119.63	9	8	22.12~24.12	81,800	0	갱신	-	73,500	0	보기
119.63	9	8	-	81,800	0	-	-	-	-	보기
84.99	15	6	22.11~24.11	10,000	230	갱신	-	10,000	150	보기
84.99	17	5	23.02~24.02	70,000	0	-	-	-	-	보기
59.99	8	4	22.11~24.11	51,400	0	갱신	사용	49,000	0	보기
59.99	5	2	-	48,000	0	-	-	-	-	보기
10월										
전용면적(㎡)	층	계약일	계약기간	"보증금
(만원)"	"월세
(만원)"	계약구분	"갱신요구권
사용"	"종전계약
보증금
(만원)"	"종전계약
월세
(만원)"	전산공부
84.99	13	31	22.11~24.11	10,000	210	신규	-	-	-	보기
128.81	7	31	22.11~24.11	89,200	0	갱신	사용	85,000	0	보기
59.99	7	30	22.12~24.12	25,000	130	신규	-	-	-	보기
84.99	6	29	22.12~24.12	30,000	120	신규	-	-	-	보기
84.99	11	27	22.12~24.12	10,000	180	신규	-	-	-	보기
84.99	11	27	-	10,000	180	-	-	-	-	보기
128.81	4	26	23.01~25.01	90,000	0	갱신	-	78,750	0	보기
128.81	4	26	-	90,000	0	-	-	-	-	보기
84.99	11	23	22.10~23.10	73,500	0	-	-	-	-	보기
84.99	11	23	-	73,500	0	-	-	-	-	보기
59.99	4	22	22.12~24.12	10,000	150	신규	-	-	-	보기
84.99	2	22	22.12~24.11	80,000	0	신규	-	-	-	보기
59.99	11	21	22.11~24.01	20,000	120	신규	-	-	-	보기
128.81	16	20	22.12~24.12	78,750	48	갱신	-	75,000	45	보기
84.99	6	19	22.12~24.12	60,000	0	신규	-	-	-	보기
84.99	6	19	22.10~24.10	68,250	0	갱신	사용	65,000	0	보기
59.99	14	18	22.12~24.12	15,000	125	신규	-	-	-	보기
84.99	7	18	22.10~24.10	61,950	0	갱신	사용	59,000	0	보기
59.99	9	17	22.12~24.12	47,000	0	신규	-	-	-	보기
