날짜	상대	이닝	투수	타자	P	결과	이전상황	이후상황	LEV	REa	WPs	WPe	WPa
2023-04-01	NC	3말	페디	9 이재현	2-1	좌익수 안타	무사 4:0	무사 1루 4:0	0.75	0.398	15.9	19.1	0.033
2023-04-01	NC	4말	페디	9 이재현	2-3	이재현/15034 : 삼진 아웃	1사 만루 4:0	2사 만루 4:0	2.76	-0.835	23.7	16.7	-0.070
2023-04-01	NC	6말	김진호	9 이재현	0-1	유격수 땅볼	2사 1루 4:0	이닝종료 4:0	0.56	-0.251	7.3	5.7	-0.016
2023-04-02	NC	3말	구창모	9 이재현	2-1	이재현/15034 : 삼진 아웃	무사 1,2루 6:0	1사 1,2루 6:0	1.18	-0.602	11.9	8.9	-0.030
2023-04-02	NC	4말	구창모	9 이재현	2-0	이재현/15034 : 삼진 아웃	2사 1루 6:3	이닝종료 6:3	0.81	-0.251	18.3	16.0	-0.023
2023-04-02	NC	6말	김진호	9 이재현	2-0	좌익수 안타	1사 1루 6:6	1사 1,3루 6:6	1.75	0.670	57.8	67.6	0.099
2023-04-02	NC	8말	임정호	9 이재현	1-1	포수 희생번트	무사 2루 6:8	1사 3루 6:8	0.29	-0.206	95.8	95.7	-0.001
2023-04-04	한화	3말	페냐	9 이재현	2-3	좌익수 홈런	무사 3:0	무사 3:1	0.91	1.000	23.1	32.3	0.093
2023-04-04	한화	4말	페냐	9 이재현	2-2	포수 파울 뜬공	무사 1루 3:5	1사 1루 3:5	0.94	-0.380	81.2	79.0	-0.022
2023-04-04	한화	7말	한승주	9 이재현	0-0	2루수 내야안타	무사 5:5	무사 1루 5:5	1.51	0.398	58.8	64.4	0.056
2023-04-06	한화	3말	문동주	9 이재현	1-1	유격수 뜬공	무사 5:0	1사 5:0	0.57	-0.258	10.6	9.1	-0.015
2023-04-06	한화	6말	이태양	9 이재현	2-1	이재현/15034 : 삼진 아웃	무사 5:0	1사 5:0	0.49	-0.258	5.4	4.2	-0.012
2023-04-06	한화	8말	김범수	9 이재현	2-2	1루수 뜬공	1사 5:1	2사 5:1	0.35	-0.180	2.7	1.8	-0.009
2023-04-07	LG	3초	켈리	9 이재현	1-0	3루수 땅볼	2사 0:5	이닝종료 0:5	0.19	-0.117	93.0	93.5	-0.005
2023-04-07	LG	6초	켈리	9 이재현	1-1	2루수 뜬공	무사 1:5	1사 1:5	0.64	-0.258	92.1	93.7	-0.016
2023-04-07	LG	8초	유영찬	9 이재현	1-1	유격수 땅볼	1사 1루 2:7	2사 1루 2:7	0.32	-0.322	98.3	99.1	-0.008
2023-04-08	LG	3초	김윤식	9 이재현	2-3	볼넷	1사 1루 0:1	1사 1,2루 0:1	1.39	0.398	61.1	56.8	0.043
2023-04-08	LG	6초	김진성	9 이재현	2-3	좌익수 뜬공	무사 0:1	1사 0:1	1.45	-0.258	66.3	70.0	-0.037
2023-04-08	LG	7초	정우영	9 이재현	2-0	투수 뜬공	2사 1,2루 0:1	이닝종료 0:1	3.26	-0.466	70.7	79.1	-0.084
2023-04-08	LG	9초	이정용	9 이재현	1-1	2루수 뜬공	2사 1,2루 1:1	이닝종료 1:1	4.46	-0.466	52.3	63.7	-0.114
2023-04-09	LG	2초	플럿코	9 이재현	1-0	3루수 희생번트	무사 1,2루 1:0	1사 2,3루 1:0	1.69	-0.106	31.2	31.5	-0.003
2023-04-09	LG	4초	플럿코	9 이재현	2-2	이재현/15034 : 삼진 아웃	2사 2:1	이닝종료 2:1	0.43	-0.117	41.4	42.5	-0.011
2023-04-09	LG	7초	플럿코	9 이재현	2-3	좌익수 2루타	1사 2:2	1사 2루 2:2	1.15	0.428	53.9	46.5	0.074
2023-04-09	LG	9초	임찬규	9 이재현	2-1	이재현/15034 : 삼진 아웃	무사 1루 2:2	1사 1루 2:2	3.44	-0.380	41.8	50.0	-0.081
2023-04-11	SSG	2말	오원석	7 이재현	2-2	유격수 땅볼	2사 2루 0:0	이닝종료 0:0	1.21	-0.344	53.4	50.0	-0.034
2023-04-11	SSG	4말	오원석	7 이재현	2-1	이재현/15034 : 삼진 아웃	2사 3:3	이닝종료 3:3	0.52	-0.117	51.3	50.0	-0.013
2023-04-11	SSG	7말	최민준	7 이재현	1-1	2루수 뜬공	무사 4:4	1사 4:4	1.51	-0.258	58.8	54.9	-0.039
2023-04-12	SSG	9말	서진용	5 이재현	2-0	이재현/15034 : 삼진 아웃	무사 3:0	1사 3:0	0.91	-0.258	4.1	1.8	-0.023
2023-04-13	SSG	2말	박종훈	9 이재현	2-2	투수 내야안타[실책포함]	무사 1:5	무사 2루 1:5	0.33	0.634	88.1	90.4	0.023
2023-04-13	SSG	3말	박종훈	9 이재현	2-2	이재현/15034 : 삼진 아웃	1사 2루 3:8	2사 2루 3:8	0.28	-0.381	94.0	93.2	-0.008
2023-04-13	SSG	5말	이로운	9 이재현	2-1	이재현/15034 : 삼진 아웃	1사 4:8	2사 4:8	0.16	-0.180	92.8	92.4	-0.004
2023-04-13	SSG	7말	박민호	9 이재현	0-0	유격수 파울 뜬공	2사 1루 5:8	이닝종료 5:8	0.21	-0.251	93.7	93.1	-0.006
2023-04-14	롯데	2말	스트레일리	9 이재현	1-1	좌익수 홈런	1사 만루 2:0	1사 2:4	3.02	2.647	45.0	73.4	0.285
2023-04-14	롯데	4말	스트레일리	9 이재현	1-3	볼넷	1사 1루 3:4	1사 1,2루 3:4	1.11	0.398	68.9	72.2	0.032
2023-04-14	롯데	6말	김도규	9 이재현	2-3	볼넷	무사 3:4	무사 1루 3:4	0.83	0.398	74.3	77.4	0.032
2023-04-14	롯데	7말	김진욱	9 이재현	1-1	좌익수 뜬공	무사 5:8	1사 5:8	0.21	-0.258	94.3	93.8	-0.006
2023-04-15	롯데	1말	나균안	2 이재현	2-2	중견수 뜬공	1사 1:0	2사 1:0	0.65	-0.180	42.2	40.6	-0.016
2023-04-15	롯데	3말	나균안	2 이재현	1-3	볼넷	2사 1루 4:0	2사 1,2루 4:0	0.62	0.215	13.7	15.5	0.017
2023-04-15	롯데	5말	나균안	2 이재현	2-2	유격수 땅볼	무사 4:2	1사 4:2	1.25	-0.258	28.4	25.2	-0.032
2023-04-15	롯데	6말	김진욱	2 이재현	2-2	중견수 뜬공	2사 1루 6:3	이닝종료 6:3	0.86	-0.251	12.8	10.3	-0.025
2023-04-15	롯데	8말	구승민	2 이재현	2-2	우익수 안타	2사 2루 8:4	2사 1루 8:5	0.45	0.907	2.7	5.5	0.027
2023-04-16	롯데	1말	반즈	2 이재현	1-1	투수 병살타	무사 1루 0:0	2사 0:0	1.42	-0.836	58.3	51.0	-0.073
2023-04-16	롯데	3말	반즈	2 이재현	1-1	몸에 맞는 볼	무사 0:0	무사 1루 0:0	0.99	0.398	55.5	59.5	0.040
2023-04-16	롯데	5말	반즈	2 이재현	1-3	볼넷	2사 0:0	2사 1루 0:0	0.58	0.134	51.5	53.1	0.017
2023-04-16	롯데	6말	반즈	2 이재현	1-0	좌익수 2루타	1사 1,2루 0:5	2사 3루 0:6	0.19	0.416	97.9	98.7	0.008
2023-04-16	롯데	8말	이진하	2 이재현	1-0	유격수 땅볼 실책[실책포함]	무사 1:9	무사 1루 1:9	0.00	0.398	100.0	100.0	0.000
2023-04-18	키움	1초	장재영	6 이재현	2-2	좌익수 안타	2사 1루 2:0	2사 1,2루 2:0	0.62	0.215	33.1	31.6	0.015
2023-04-18	키움	3초	장재영	6 이재현	2-3	볼넷	1사 1루 2:0	1사 1,2루 2:0	0.92	0.398	28.3	25.6	0.027
2023-04-18	키움	4초	양현	6 이재현	1-3	중견수 뜬공	2사 1루 6:0	이닝종료 6:0	0.14	-0.251	5.1	5.5	-0.004
2023-04-18	키움	7초	문성현	6 이재현	2-0	1루수 땅볼	2사 6:0	이닝종료 6:0	0.03	-0.117	1.8	1.9	-0.001
2023-04-19	키움	2초	안우진	6 이재현	1-0	2루수 땅볼	무사 2,3루 0:1	1사 3루 1:1	1.66	-0.069	45.2	45.2	0.000
2023-04-19	키움	4초	안우진	6 이재현	2-1	3루수 파울 뜬공	무사 2:1	1사 2:1	0.90	-0.258	37.5	39.8	-0.023
2023-04-19	키움	6초	안우진	6 이재현	1-1	유격수 땅볼	2사 2:4	이닝종료 2:4	0.49	-0.117	83.5	84.8	-0.013
2023-04-20	키움	2초	요키시	6 이재현	1-2	좌익수 안타	무사 1:4	무사 1루 1:4	0.81	0.398	78.2	74.8	0.034
2023-04-20	키움	4초	요키시	6 이재현	1-2	중견수 뜬공	1사 1:4	2사 1:4	0.59	-0.180	84.0	85.5	-0.015
2023-04-20	키움	6초	요키시	6 이재현	2-3	이재현/15034 : 삼진 아웃	1사 1,3루 1:4	2사 2,3루 1:4	2.09	-0.705	79.9	86.6	-0.067
2023-04-21	KIA	2초	윤영철	7 이재현	2-2	중견수 뜬공	무사 0:0	1사 0:0	0.93	-0.258	50.0	52.4	-0.024
2023-04-21	KIA	4초	윤영철	7 이재현	2-2	좌익수 뜬공	1사 0:1	2사 0:1	0.81	-0.180	65.4	67.4	-0.020
2023-04-21	KIA	5초	임기영	7 이재현	0-1	유격수 뜬공	2사 1,3루 3:1	이닝종료 3:1	1.42	-0.538	24.5	28.4	-0.039
