,AREA,DAY,CANCEL,C_REASON,REG_DATE,PRICE,LEVEL,DEAL,DEAL_ADDR,MONTH,YEAR,DATE,TYPE
0,128.81,31,,,,94500.0,7,-,-,12,2017,2017-12-31,SALE
1,59.99,30,,,,62700.0,2,-,-,12,2017,2017-12-30,SALE
2,128.81,30,,,,92500.0,4,-,-,12,2017,2017-12-30,SALE
3,128.81,29,,,,99500.0,6,-,-,12,2017,2017-12-29,SALE
4,59.99,28,,,,67000.0,14,-,-,12,2017,2017-12-28,SALE
5,128.81,28,,,,92500.0,9,-,-,12,2017,2017-12-28,SALE
6,59.99,27,,,,63700.0,8,-,-,12,2017,2017-12-27,SALE
7,84.99,27,,,,81000.0,10,-,-,12,2017,2017-12-27,SALE
8,128.81,27,,,,102000.0,7,-,-,12,2017,2017-12-27,SALE
9,59.99,23,,,,64500.0,15,-,-,12,2017,2017-12-23,SALE
10,84.99,23,,,,77300.0,20,-,-,12,2017,2017-12-23,SALE
11,128.81,23,,,,97000.0,10,-,-,12,2017,2017-12-23,SALE
12,59.99,22,,,,63300.0,9,-,-,12,2017,2017-12-22,SALE
13,119.63,22,,,,97500.0,5,-,-,12,2017,2017-12-22,SALE
14,59.99,21,,,,64000.0,4,-,-,12,2017,2017-12-21,SALE
15,128.81,16,,,,87000.0,3,-,-,12,2017,2017-12-16,SALE
16,128.81,16,,,,90000.0,10,-,-,12,2017,2017-12-16,SALE
17,128.81,16,,,,90000.0,12,-,-,12,2017,2017-12-16,SALE
18,128.81,15,,,,89500.0,2,-,-,12,2017,2017-12-15,SALE
19,128.81,14,,,,90000.0,8,-,-,12,2017,2017-12-14,SALE
20,128.81,14,,,,90000.0,9,-,-,12,2017,2017-12-14,SALE
21,128.81,13,,,,96000.0,7,-,-,12,2017,2017-12-13,SALE
22,84.99,12,,,,80000.0,17,-,-,12,2017,2017-12-12,SALE
23,59.99,9,,,,64000.0,6,-,-,12,2017,2017-12-09,SALE
24,84.99,9,,,,79000.0,11,-,-,12,2017,2017-12-09,SALE
25,128.81,9,,,,90000.0,5,-,-,12,2017,2017-12-09,SALE
26,128.81,9,,,,97000.0,13,-,-,12,2017,2017-12-09,SALE
